lat,lon,Submission,radius
18.33,-64.79,1:11,1
19.69,-155.08,1:11,1
26.11,-80.39,1:11,1
26.14,-80.13,10:9,1
26.95,-82.35,1:16,1
27.75,-82.64,1:11,1
28.59,-81.34,1:11,1
29.62,-95.56,1:11,1
30.06,-89.93,1:20,1
30.39,-90.16,3:19,1
30.44,-97.62,1:11,1
30.51,-97.67,10:9,1
32.17,-110.79,11:2,1
32.24,-110.92,1:11,1
32.25,-110.82,4:24,1
32.31,-110.92,1:11,1
32.33,-106.75,11:2,1
32.43,-110.95,11:2,1
32.75,-97.33,1:11,1
32.98,-96.89,3:1,1
33.28,-117.19,3:21,1
33.71,-117.90,10:6,1
33.83,-84.38,10:8,1
33.87,-117.53,4:29,1
33.93,-116.77,1:11,1
33.94,-118.38,4:23,1
33.95,-84.54,1:11,1
34.00,-81.03,1:11,1
34.01,-117.27,11:2,1
34.03,-84.35,1:11,1
34.07,-117.70,4:4,1
34.12,-117.71,1:11,1
34.20,-118.05,11:2,1
34.27,-117.19,1:21,1
34.28,-119.22,2:3,1
34.40,-119.72,11:2,1
34.41,-119.70,11:2,1
34.43,-119.77,11:2,1
34.45,-119.80,4:2,1
34.52,-97.96,3:12,1
35.16,-120.43,11:2,1
35.18,-120.76,3:4,1
35.23,-81.07,11:2,1
35.27,-120.69,4:4,1
35.29,-111.32,1:11,1
35.38,-119.20,1:11,1
35.54,-120.75,11:3,1
35.61,-120.76,4:12,1
35.78,-78.79,1:14,1
35.89,-106.28,1:11,1
36.00,-115.11,10:6,1
36.00,-95.97,11:2,1
36.02,-80.38,11:2,1
36.06,-115.27,1:11,1
36.07,-115.21,1:11,1
36.11,-115.27,4:23,1
36.27,-119.63,10:7,1
36.61,-121.92,10:7,1
36.62,-121.82,3:17,1
36.67,-76.30,1:17,1
36.84,-119.82,10:9,1
36.90,-119.75,11:2,1
36.97,-121.98,1:11,1
37.02,-121.94,11:2,1
37.16,-122.15,1:23,1
37.22,-113.48,2:3,1
37.27,-79.95,3:13,1
37.55,-120.96,10:5,1
37.68,-122.41,2:4,1
37.68,-97.34,3:21,1
37.75,-121.12,11:2,1
37.87,-121.68,4:24,1
38.00,-121.83,10:5,1
38.00,-121.32,1:26,1
38.22,-85.74,1:13,1
38.35,-121.93,1:11,1
38.39,-121.81,1:18,1
38.55,-121.45,11:2,1
38.55,-121.32,11:2,1
38.56,-121.99,1:11,1
38.69,-121.31,1:16,1
38.76,-121.28,1:11,1
38.78,-122.58,11:2,1
38.78,-77.17,11:2,1
38.82,-77.08,11:2,1
38.85,-121.18,1:11,1
38.86,-107.59,10:8,1
38.87,-77.10,1:11,1
38.88,-77.17,10:8,1
38.89,-77.03,1:11,1
38.94,-119.97,4:20,1
38.99,-108.66,1:15,1
39.00,-121.03,1:11,1
39.01,-77.28,11:2,1
39.05,-121.73,10:5,1
39.05,-121.61,10:9,1
39.08,-108.55,2:21,1
39.08,-77.15,1:11,1
39.09,-94.58,11:2,1
39.16,-119.86,1:11,1
39.18,-120.98,1:13,1
39.21,-119.71,1:11,1
39.30,-120.31,10:4,1
39.38,-119.87,2:22,1
39.49,-123.36,1:18,1
39.50,-104.76,1:13,1
39.54,-77.10,1:11,1
39.57,-105.14,11:2,1
39.61,-86.11,10:7,1
39.64,-104.99,1:12,1
39.64,-104.96,1:11,1
39.69,-104.88,1:11,1
39.76,-119.86,1:17,1
39.82,-105.10,1:11,1
39.92,-105.50,1:12,1
39.94,-75.30,3:27,1
39.96,-105.14,11:2,1
39.99,-105.09,4:26,1
40.02,-105.04,11:2,1
40.06,-82.42,4:19,1
40.08,-75.25,1:11,1
40.11,-111.48,1:18,1
40.17,-74.91,3:24,1
40.18,-75.45,1:11,1
40.20,-74.78,3:2,1
40.36,-74.00,10:7,1
40.43,-79.97,4:27,1
40.49,-111.84,1:11,1
40.49,-74.48,10:4,1
40.56,-122.20,1:16,1
40.58,-74.14,10:3,1
40.67,-74.56,4:27,1
40.68,-122.25,1:11,1
