lat,lon,conc,Submission,radius,sqrt
38.45,-122.59,38.45-122.59,10/3/15 12:05,1,1
38.21,-122.76,38.21-122.76,10/3/15 12:32,1,1
37.77,-122.27,37.77-122.27,10/3/15 12:55,1,1
39.49,-119.84,39.49-119.84,10/3/15 13:55,1,1
37.76,-122.44,37.76-122.44,10/3/15 15:33,1,1
37.13,-121.94,37.13-121.94,10/3/15 17:11,1,1
37.34,-122.11,37.34-122.11,10/3/15 17:46,1,1
38.5,-122.76,38.5-122.76,10/3/15 18:36,1,1
38.4,-122.86,38.4-122.86,10/3/15 18:57,1,1
37.95,-122.07,37.95-122.07,10/3/15 19:01,1,1
37.95,-122.07,37.95-122.07,10/3/15 19:05,2,1.414213562
37.91,-122.07,37.91-122.07,10/3/15 19:20,1,1
40.58,-74.14,40.58-74.14,10/3/15 19:56,1,1
38.45,-122.68,38.45-122.68,10/3/15 21:40,1,1
38.4,-122.86,38.4-122.86,10/3/15 21:56,2,1.414213562
37.06,-122.01,37.06-122.01,10/3/15 22:14,1,1
37.89,-122.56,37.89-122.56,10/3/15 22:42,1,1
38.43,-122.67,38.43-122.67,10/4/15 6:48,1,1
37.76,-122.39,37.76-122.39,10/4/15 7:08,1,1
37.83,-121.03,37.83-121.03,10/4/15 7:14,1,1
37.84,-121.97,37.84-121.97,10/4/15 8:22,1,1
38.31,-122.64,38.31-122.64,10/4/15 8:46,1,1
40.71,-73.99,40.71-73.99,10/4/15 9:15,1,1
37.41,-122.17,37.41-122.17,10/4/15 9:40,1,1
38.49,-122.77,38.49-122.77,10/4/15 10:10,1,1
37.75,-122.43,37.75-122.43,10/4/15 10:30,1,1
37.89,-122.56,37.89-122.56,10/4/15 12:18,2,1.414213562
37.74,-122.41,37.74-122.41,10/4/15 12:38,1,1
37.89,-122.19,37.89-122.19,10/4/15 12:58,1,1
38.55,-122.15,38.55-122.15,10/4/15 13:13,1,1
37.41,-122.13,37.41-122.13,10/4/15 13:23,1,1
37.35,-121.98,37.35-121.98,10/4/15 13:47,1,1
37.73,-122.45,37.73-122.45,10/4/15 13:56,1,1
38.1,-122.63,38.1-122.63,10/4/15 14:17,1,1
38.43,-122.67,38.43-122.67,10/4/15 14:21,2,1.414213562
37.78,-122.46,37.78-122.46,10/4/15 14:58,1,1
37.72,-122.44,37.72-122.44,10/4/15 15:00,1,1
38.01,-122.25,38.01-122.25,10/4/15 16:04,1,1
38.68,-121.22,38.68-121.22,10/4/15 16:42,1,1
35.25,-120.62,35.25-120.62,10/4/15 16:47,1,1
40.49,-74.48,40.49-74.48,10/4/15 16:56,1,1
35.25,-120.62,35.25-120.62,10/4/15 17:31,2,1.414213562
37.3,-122,37.3-122,10/4/15 18:11,1,1
37.41,-122.13,37.41-122.13,10/4/15 18:16,2,1.414213562
38.44,-122.78,38.44-122.78,10/4/15 18:16,1,1
34.09,-118.29,34.09-118.29,10/4/15 19:50,1,1
37.89,-122.03,37.89-122.03,10/4/15 20:37,1,1
39.33,-120.24,39.33-120.24,10/4/15 20:37,1,1
39.3,-120.31,39.3-120.31,10/4/15 20:50,1,1
38.43,-122.86,38.43-122.86,10/4/15 21:16,1,1
33.78,-117.86,33.78-117.86,10/4/15 21:22,1,1
37.46,-122.24,37.46-122.24,10/4/15 21:36,1,1
37.46,-122.24,37.46-122.24,10/4/15 21:45,2,1.414213562
38.92,-121.07,38.92-121.07,10/4/15 21:53,1,1
38.23,-122.56,38.23-122.56,10/4/15 22:30,1,1
33.64,-117.91,33.64-117.91,10/4/15 22:41,1,1
38.23,-122.56,38.23-122.56,10/4/15 22:41,2,1.414213562
38.5,-122.76,38.5-122.76,10/5/15 7:01,2,1.414213562
38.58,-121.4,38.58-121.4,10/5/15 7:43,1,1
38.53,-122.81,38.53-122.81,10/5/15 8:22,1,1
37.9,-122.28,37.9-122.28,10/5/15 9:11,1,1
37.49,-122.26,37.49-122.26,10/5/15 10:18,1,1
37.29,-121.88,37.29-121.88,10/5/15 10:22,1,1
38.56,-121.43,38.56-121.43,10/5/15 10:50,1,1
38.21,-122.76,38.21-122.76,10/5/15 11:08,2,1.414213562
45.49,-122.77,45.49-122.77,10/5/15 11:11,1,1
33.88,-118.4,33.88-118.4,10/5/15 11:32,1,1
37.81,-122.24,37.81-122.24,10/5/15 11:33,1,1
38.53,-122.81,38.53-122.81,10/5/15 11:41,2,1.414213562
37.25,-121.88,37.25-121.88,10/5/15 11:42,1,1
38.55,-122.15,38.55-122.15,10/5/15 11:43,2,1.414213562
33.97,-118.43,33.97-118.43,10/5/15 12:08,1,1
39.05,-121.73,39.05-121.73,10/5/15 12:32,1,1
37.89,-122.03,37.89-122.03,10/5/15 12:42,2,1.414213562
37.25,-121.92,37.25-121.92,10/5/15 13:49,1,1
37.45,-122.17,37.45-122.17,10/5/15 13:49,1,1
37.23,-121.82,37.23-121.82,10/5/15 13:52,1,1
37.8,-122.43,37.8-122.43,10/5/15 13:57,1,1
38.62,-121.32,38.62-121.32,10/5/15 13:58,1,1
37.8,-122.21,37.8-122.21,10/5/15 14:26,1,1
38,-121.83,38-121.83,10/5/15 14:46,1,1
37.46,-122.24,37.46-122.24,10/5/15 15:20,3,1.732050808
37.45,-122.1,37.45-122.1,10/5/15 16:03,1,1
38.43,-122.67,38.43-122.67,10/5/15 16:04,3,1.732050808
37.75,-122.43,37.75-122.43,10/5/15 16:08,2,1.414213562
37.41,-122.05,37.41-122.05,10/5/15 16:21,1,1
37.35,-121.98,37.35-121.98,10/5/15 16:25,2,1.414213562
37.41,-122.05,37.41-122.05,10/5/15 16:26,2,1.414213562
37.55,-120.96,37.55-120.96,10/5/15 16:47,1,1
37.97,-122.5,37.97-122.5,10/5/15 17:03,1,1
44.94,-93.1,44.94-93.1,10/5/15 17:43,1,1
37.41,-122.05,37.41-122.05,10/5/15 17:51,3,1.732050808
37.4,-122.29,37.4-122.29,10/5/15 17:53,1,1
37.84,-122.53,37.84-122.53,10/5/15 17:55,1,1
37,-121.87,37-121.87,10/5/15 18:02,1,1
39.18,-120.14,39.18-120.14,10/5/15 19:52,1,1
33.8,-118.16,33.8-118.16,10/5/15 19:53,1,1
34.15,-118.52,34.15-118.52,10/5/15 19:59,1,1
37.67,-122.08,37.67-122.08,10/5/15 20:00,1,1
38.4,-122.86,38.4-122.86,10/5/15 20:04,3,1.732050808
37.67,-122.08,37.67-122.08,10/5/15 20:05,2,1.414213562
37.44,-121.87,37.44-121.87,10/5/15 20:18,1,1
37.74,-122.41,37.74-122.41,10/5/15 20:21,2,1.414213562
37.8,-122.27,37.8-122.27,10/5/15 21:48,1,1
37.79,-122.42,37.79-122.42,10/5/15 21:52,1,1
37.81,-122.24,37.81-122.24,10/5/15 21:52,2,1.414213562
38.31,-122.7,38.31-122.7,10/5/15 22:26,1,1
37.79,-122.42,37.79-122.42,10/5/15 23:09,2,1.414213562
37.83,-122.26,37.83-122.26,10/5/15 23:12,1,1
47.68,-122.28,47.68-122.28,10/5/15 23:14,1,1
41.96,-71.18,41.96-71.18,10/6/15 4:12,1,1
37.68,-121.75,37.68-121.75,10/6/15 5:55,1,1
38.24,-122.46,38.24-122.46,10/6/15 7:58,1,1
38.42,-122.54,38.42-122.54,10/6/15 8:36,1,1
37.45,-122.17,37.45-122.17,10/6/15 8:40,2,1.414213562
37.41,-122.05,37.41-122.05,10/6/15 8:43,4,2
38.74,-121.25,38.74-121.25,10/6/15 8:51,1,1
34.06,-118.35,34.06-118.35,10/6/15 9:26,1,1
33.62,-117.87,33.62-117.87,10/6/15 10:25,1,1
38.45,-122.59,38.45-122.59,10/6/15 10:45,2,1.414213562
37.62,-122.43,37.62-122.43,10/6/15 11:11,1,1
37.54,-122.3,37.54-122.3,10/6/15 11:13,1,1
33.02,-117.12,33.02-117.12,10/6/15 11:34,1,1
38.73,-120.8,38.73-120.8,10/6/15 11:34,1,1
38.73,-120.8,38.73-120.8,10/6/15 11:40,2,1.414213562
38.73,-120.8,38.73-120.8,10/6/15 11:49,3,1.732050808
38.49,-121.53,38.49-121.53,10/6/15 11:56,1,1
38.49,-121.53,38.49-121.53,10/6/15 12:01,2,1.414213562
34.23,-118.47,34.23-118.47,10/6/15 12:28,1,1
37.3,-122.09,37.3-122.09,10/6/15 13:41,1,1
46.51,-112.12,46.51-112.12,10/6/15 13:42,1,1
37.25,-121.88,37.25-121.88,10/6/15 14:03,2,1.414213562
37.41,-122.13,37.41-122.13,10/6/15 14:26,3,1.732050808
37.49,-122.26,37.49-122.26,10/6/15 15:18,2,1.414213562
38.1,-122.63,38.1-122.63,10/6/15 15:21,2,1.414213562
36,-115.11,36-115.11,10/6/15 15:52,1,1
40.6,-122.46,40.6-122.46,10/6/15 16:23,1,1
37.83,-122.26,37.83-122.26,10/6/15 16:36,2,1.414213562
41.92,-88.3,41.92-88.3,10/6/15 17:07,1,1
44.94,-93.1,44.94-93.1,10/6/15 17:17,2,1.414213562
38.43,-122.67,38.43-122.67,10/6/15 17:20,4,2
37.45,-122.17,37.45-122.17,10/6/15 20:34,3,1.732050808
37.91,-122.07,37.91-122.07,10/6/15 20:39,2,1.414213562
37.87,-122.26,37.87-122.26,10/6/15 20:44,1,1
34.2,-118.3,34.2-118.3,10/6/15 20:45,1,1
38.43,-122.67,38.43-122.67,10/6/15 20:55,5,2.236067977
33.71,-117.9,33.71-117.9,10/6/15 21:01,1,1
38.43,-122.67,38.43-122.67,10/6/15 21:07,6,2.449489743
37.49,-122.26,37.49-122.26,10/6/15 21:14,3,1.732050808
37.74,-122.41,37.74-122.41,10/6/15 21:19,3,1.732050808
37.83,-122.26,37.83-122.26,10/6/15 22:31,3,1.732050808
38.53,-121.66,38.53-121.66,10/7/15 8:30,1,1
38.68,-121.05,38.68-121.05,10/7/15 9:07,1,1
38.68,-121.05,38.68-121.05,10/7/15 9:34,2,1.414213562
39.98,-82.98,39.98-82.98,10/7/15 10:15,1,1
38.53,-122.81,38.53-122.81,10/7/15 10:16,3,1.732050808
